Country Name,Year,Cellphone,Internetuser,Radio,Telephone,Tv,Xlpopulation,Xlrealgdp
Australia,1996,3990218,600032.8,25000,,10000000,18311,350394
Australia,1997,4564061,1595145,25500,,10200000,18524,363903
Australia,1998,4923514,4204709,26000,,10300000,18751,382335
Australia,1999,6325004,5608872,26500,,10500000,18965.8,394876
Australia,2000,8573173,6608613,,,,19179.5,397324
Austria,1975,0,,3600,2133000,2550000,7579,88267
Austria,1976,0,,3645,2281000,2625410,7566,92307
Austria,1977,0,,3690,2443000,2703040,7568,96624
Austria,1978,0,,3736,2618000,2782970,7562,96273
Austria,1979,0,,3783,2813000,2865270,7549,101525
Austria,1980,0,,3830,3010000,2950000,7549,103874
Austria,1981,0,,3902,3178000,3009550,7569,103771
Austria,1982,0,,3975,3330000,3070300,7576,105750
Austria,1983,0,,4050,3469000,3132270,7567,108716
Austria,1984,0,,4126,3594000,3195500,7571,109077
Austria,1985,9758.125,,4203,3720000,3260000,7578,111525
Austria,1986,19101.47,,4303,3834000,3334510,7588,114135
Austria,1987,26216.08,,4406,3979000,3410730,7598,116053
Austria,1988,36904,,4572,4128000,3488690,7615,119730
Austria,1989,50767.57,,4620,4310000,3568440,7659,124791
Austria,1990,73774.39,10009.98,4730,4541000,3650000,7729,130476
Austria,1991,114798.2,19895.36,4781,4732000,3717000,7813,134944
Austria,1992,171308.3,49668.12,4832,4957000,3786000,7914,136754
Austria,1993,218482.1,59354.27,4884,5195000,3856000,7991,137455
Austria,1994,274942.4,108712.3,4937,5371000,3927000,8030,140949
Austria,1995,378816.5,148154.6,4990,5568000,4000000,8047,143849
Austria,1996,591278.9,543175.3,6000,5724000,4200000,8059,146699
Austria,1997,1144900,750301.1,6080,5891000,4250000,8072,148443
Austria,1998,2246986,1205370,6160,5964000,4115897,8078,152712
Austria,1999,4154282,1798394,6240,,4202768,8093.18,156713
Austria,2000,6034898,2663761,,,4340943,8113.4,160991
Azerbaijan,1990,0,,,617618.88,1528507,7134,33397
Azerbaijan,1991,0,,,624530.56,1510596,7242,33159
Azerbaijan,1992,0,,,627267.75,1516849,7332,25673
Azerbaijan,1993,0,,147,630912.19,1627137,7399,19736
Azerbaijan,1994,507.3528,111.6176,149,644578.63,1623529,7459,15842
Azerbaijan,1995,6119.199,163.1786,160,652237.25,1631786,7511,13989
Azerbaijan,1996,17423.06,512.4431,170,661121.25,1639818,7555,14141
Azerbaijan,1997,41081.82,2054.091,175,676099.94,1848682,7603,14979
Azerbaijan,1998,67068.06,3095.449,180,701841.5,2012042,7666,16365
Azerbaijan,1999,383734.9,8296.973,185,757098.69,2053501,7733.52,17340.4
Azerbaijan,2000,431442,12315.19,,822243.88,2052531,7797.19,19143.8
Bangladesh,1975,0,,700,56666.293,25000,76253,40308
Bangladesh,1976,0,,815,64316.16,32000,77928,42098
Bangladesh,1977,0,,950,71958.398,40000,80428,42525
Bangladesh,1978,0,,1106,81498.734,50000,82936,45657
Bangladesh,1979,0,,1288,84438.703,63000,85492,47846
Bangladesh,1980,0,,1500,90272.82,80000,88077,48239
Bangladesh,1981,0,,1825,96330.633,101000,90666,49877
Bangladesh,1982,0,,2221,103415.77,128000,93074,50487
Bangladesh,1983,0,,2702,110173.49,163000,95384,52961
Bangladesh,1984,0,,3288,116942.16,206000,97612,55833
Bangladesh,1985,0,,4000,146834.08,261000,99753,57519
Bangladesh,1986,0,,4158,159632.59,301000,101769,60011
Bangladesh,1987,0,,4322,170543.17,346000,103764,62521
Bangladesh,1988,0,,4493,183637.3,399000,105771,64329
Bangladesh,1989,0,,4671,189051.89,460000,107807,65948
Bangladesh,1990,0,,4855,215202.66,530000,109897,70320
Bangladesh,1991,0,,4996,219309.97,560000,111936,72629
Bangladesh,1992,248.2057,,5140,231029.84,592000,113711,76245
Bangladesh,1993,497.7686,,5289,244849.39,626000,115453,79722
Bangladesh,1994,1102.03,,5442,261806.05,662000,117283,82774
Bangladesh,1995,2502.25,,5600,286862.91,700000,119188,87355
Bangladesh,1996,4014.219,,6000,317204.56,750000,121140,91705
Bangladesh,1997,26160.88,1006.187,6150,370294.22,770000,123112,96616
Bangladesh,1998,75659.29,5043.97,6304,416375.25,791000,125105,101666
Bangladesh,1999,150695.4,50569.04,6461,437894.44,812000,127118,106139
Bangladesh,2000,282891.6,101394.8,,478355.44,,129322,110098
Belarus,1990,0,,,1574003.5,2749730,10260,73389
Belarus,1991,0,,2262,1672803.6,2758918,10271,72491
Belarus,1992,0,,2732,1741257.5,2764858,10313,65534
Belarus,1993,323.8419,,2803,1813473.4,2798633,10357,60596
Belarus,1994,1726.87,50.08326,2875,1893146.9,2904829,10356,52966
Belarus,1995,5906.851,300.5011,2950,1971723.1,3005011,10329,47430
Belarus,1996,6559.622,3005.324,3000,2131748.8,3105502,10298,48776
Belarus,1997,8186.42,5011.89,3020,2318098,3207609,10268,54315
Belarus,1998,12184.04,7517.919,3040,2495799.8,3307885,10239,58799
Belarus,1999,23494.46,50079.85,3060,2642681.5,3405430,10204.4,63426.5
Belarus,2000,49427.11,187316.8,,2756037,3505255,10173.8,70523.9
Belgium,1975,0,,6200,2798000,3315000,9795,121855
Belgium,1976,0,,6308,2949000,3409000,9811,128743
Belgium,1977,0,,6582,3100000,3507000,9822,129549
Belgium,1978,0,,6782,3271000,3607000,9830,133231
Belgium,1979,0,,6988,3447000,3709000,9837,136350
Belgium,1980,0,,7200,3636000,3815000,9847,142458
Belgium,1981,0,,7249,3819000,3842000,9854,140680
Belgium,1982,0,,7299,3959000,3868000,9862,142665
Belgium,1983,0,,7349,4111000,3895000,9867,142648
Belgium,1984,0,,7399,4243000,3923000,9871,146180
Belgium,1985,0,,7450,4346000,3950000,9879,147650
Belgium,1986,3798,,7492,4556000,4045000,9888,149854
Belgium,1987,7223,,7533,4719000,4143000,9901,153392
Belgium,1988,19177.24,,7575,4841000,4243000,9908,160632
Belgium,1989,30791,,7618,5138000,4345000,9941,166396
Belgium,1990,42880,100.004,7660,5429000,4450000,9971,171442
Belgium,1991,51555.62,2005.175,7727,5691000,4480000,10008,174880
Belgium,1992,61650.48,10030.99,7794,5898000,4509000,10051,177695
Belgium,1993,68011.26,20069.91,7862,,4539000,10088,175072
Belgium,1994,128465.9,70213.04,7931,5816000,4570000,10119,180312
Belgium,1995,235640,100160.4,8070,5934000,4631000,10137,185047
Belgium,1996,478202.5,300019.1,8050,5995000,4675000,10157,186661
Belgium,1997,973417.1,499447.4,8075,6182000,4720000,10182,192652
Belgium,1998,1754438,799157.8,8090,6273000,4765000,10197,198249
Belgium,1999,3182530,1398211,8110,,4811000,10220,203741
Belgium,2000,5622740,2996664,,,,10245.9,211340
Benin,1975,0,,137,10000,,2996,2904
Benin,1976,0,,150,12000,,3080,3029
Benin,1977,0,,162,14000,250.0224,3168,3199
Benin,1978,0,,175,16000,249.7826,3260,3301
Benin,1979,0,,189,17000,249.7579,3355,3565
Benin,1980,0,,204,17000,5000,3444,3901
Benin,1981,0,,220,19000,6998.299,3540,4122
Benin,1982,0,,238,20000,10003.79,3642,4566
Benin,1983,0,,257,19000,13026.48,3750,4366
Benin,1984,0,,278,20000,14057.45,3864,4713
Benin,1985,0,,300,22000,15105.32,3984,5068
Benin,1986,0,,320,22000,16138.69,4109,5182
Benin,1987,0,,342,23000,17182.84,4241,5104
Benin,1988,0,,364,14000,18229.6,4379,5258
Benin,1989,0,,389,14000,20297.38,4524,5144
Benin,1990,0,,415,15000,23382.26,4676,5347
Benin,1991,0,,431,15000,53890.21,4834,5598
Benin,1992,0,,447,16123.722,56269.33,4998,5822
Benin,1993,0,,464,20827.936,56128.99,5167,6026
Benin,1994,0,,482,24358.889,56967.96,5342,6291
Benin,1995,1059.993,,500,28474.449,58552.01,5523,6581
Benin,1996,2712.688,100.2153,600,32747.666,58121.87,5710,6942
Benin,1997,4274.239,1492.726,620,36276.797,65680.98,5902,7338
Benin,1998,6213.642,2965.502,641,37912.508,67217.26,6101,7668
Benin,1999,7139.577,9821.968,662,42878.715,67771.47,6260.11,7885.77
Benin,2000,54157.68,14643.54,,50416.738,69312.77,6425.26,8120.77
Bolivia,1975,0,,1150,61000,45000,4914,12364
Bolivia,1976,0,,1374,64000,65760,5025,13118
Bolivia,1977,0,,1642,71000,96110,5128,13670
Bolivia,1978,0,,1961,104000,140460,5232,14128
Bolivia,1979,0,,2344,113000,205280,5335,14125
Bolivia,1980,0,,2800,138000,300000,5439,13995
Bolivia,1981,0,,2957,141000,321000,5545,14124
Bolivia,1982,0,,3122,151000,343000,5653,13508
Bolivia,1983,0,,3296,157000,367000,5763,12905
Bolivia,1984,0,,3480,158000,393000,5876,13034
Bolivia,1985,0,,3675,,420000,5992,12943
Bolivia,1986,0,,3806,182000,472000,6111,12530
Bolivia,1987,0,,3942,,530000,6233,12858
Bolivia,1988,0,,4003,,595000,6359,13348
Bolivia,1989,0,,4229,,667000,6487,13735
Bolivia,1990,0,,4380,,750000,6620,14446
Bolivia,1991,293.4697,,4494,,769000,6756,15226
Bolivia,1992,1668.206,,4611,,789000,6895,15485
Bolivia,1993,2667.28,,4731,,808000,7048,16135
Bolivia,1994,4077.849,,4854,,829000,7202,16910
Bolivia,1995,7299.241,5048.583,4980,,850000,7358,17705
Bolivia,1996,33807.61,15126.03,5110,,880000,7514,17670
Bolivia,1997,119986.9,35211.51,5250,,900000,7670,18394
Bolivia,1998,242549.7,50196.24,5394,,942739.8,7826,19241
Bolivia,1999,425910.5,80112.84,5542,,972712.9,8002.52,19443
Bolivia,2000,598217.8,121589.9,,,1016504,8173.34,19452.8
Bosnia-Herzegovina,1990,0,,,,,4360,16530
Bosnia-Herzegovina,1991,0,,691,,385612.8,4371,14610
Bosnia-Herzegovina,1992,0,,726,578638.13,371292.8,4327,10535
Bosnia-Herzegovina,1993,0,,762,557165.06,357514.3,4084,7287
Bosnia-Herzegovina,1994,0,,800,223541.17,348724.3,3686,7484
Bosnia-Herzegovina,1995,0,,840,204781.05,344397,3282,7933
Bosnia-Herzegovina,1996,1368.863,456.2645,900,248448.64,374155.9,3111,8400
Bosnia-Herzegovina,1997,8688.425,1930.735,940,292403.16,405459.8,3223,9028
Bosnia-Herzegovina,1998,25797.68,5122.272,982,341341.56,440530.6,3366,9261
Botswana,1975,0,0,57,7000,,705,862
Botswana,1976,0,0,63,8000,,742,1024
Botswana,1977,0,0,69,9000,,783,1061
Botswana,1978,0,0,75,10000,,824,1264
Botswana,1979,0,0,83,12000,,864,1391
Botswana,1980,0,0,91,14000,,903,1589
Botswana,1981,0,0,100,15000,,937,1736
Botswana,1982,0,0,109,16000,,972,1865
Botswana,1983,0,0,111,17000,,1009,2159
Botswana,1984,0,0,113,17000,,1047,2400
Botswana,1985,0,0,115,18000,,1087,2577
Botswana,1986,0,0,121,19000,,1129,2773
Botswana,1987,0,0,128,21000,8006.92,1171,3017
Botswana,1988,0,0,135,27000,8300,1215,3492
Botswana,1989,0,0,142,22000,14963.65,1259,3944
Botswana,1990,0,0,150,26000,19921.94,1304,4178
Botswana,1991,0,0,157,33000,20860.78,1323,4379
Botswana,1992,0,,165,36503.84,26019.13,1342,4510
Botswana,1993,0,,173,43861.887,29250,1360,4600
Botswana,1994,0,,181,51296.633,31522.11,1379,4757
Botswana,1995,0,1024.674,190,61145.398,34838.93,1397,4980
Botswana,1996,0,2573.745,230,74315.047,37060.24,1415,5324
Botswana,1997,0,5156.536,237,88277.242,39192.16,1432,5739
Botswana,1998,15645.6,10301.15,244,105075.83,43259.73,1448,6083
Botswana,1999,94054.64,19420.08,252,126584.26,61339.98,1477.31,6558.69
Brazil,1975,0,,8711,3372000,9343750,108813,455918
Brazil,1976,0,,9966,4036000,10500000,111533,498823
Brazil,1977,0,,11222,4836000,11500000,114299,522154
Brazil,1978,0,,12477,5525000,12600000,117129,548342
Brazil,1979,0,,13733,6494000,13700000,120020,587289
Brazil,1980,0,,14988,7496000,15000000,122936,639093
Brazil,1981,0,,16244,8536000,16600000,125907,611007
Brazil,1982,0,,17500,9126000,18400000,128938,614538
Brazil,1983,0,,18755,9856000,20300000,131864,593575
Brazil,1984,0,,25000,10576000,22500000,134596,625438
Brazil,1985,0,,33000,11428000,25000000,137272,675090
Brazil,1986,0,,50540,12193000,26300000,140080,729252
Brazil,1987,0,,51800,13158000,27400000,142903,753685
Brazil,1988,0,,53000,13905000,28500000,145744,751910
Brazil,1989,0,,54300,,29600000,148526,776547
Brazil,1990,681.919,,57000,,30800000,151040,743765
Brazil,1991,6850.291,5112.141,58200,,31600000,153471,751203
Brazil,1992,32722.01,20451.29,59500,,32400000,155918,748949
Brazil,1993,186165.5,40915.36,60800,,33300000,158344,782652
Brazil,1994,587263.4,61385.44,62100,,34100000,160744,831176
Brazil,1995,1315737,173994.2,63500,,35000000,163113,866086
Brazil,1996,2557969,757717.4,70000,,36000000,165427,891202
Brazil,1997,4661587,1342126,71000,,36500000,167661,925068
Brazil,1998,7371550,2501134,72000,,37000000,169807,926918
Brazil,1999,15000000,3500804,73000,,37500000,171944,948515
Brazil,2000,23200000,5008859,,,,174052,989965
Bulgaria,1975,0,,3150,777000,1960000,8721,50849
Bulgaria,1976,0,,3217,853000,1997000,8759,52371
Bulgaria,1977,0,,3206,946000,2034000,8804,51869
Bulgaria,1978,0,,3356,1032000,2072000,8814,52989
Bulgaria,1979,0,,3427,1136000,2111000,8826,55028
Bulgaria,1980,0,,3500,1255000,2150000,8862,53449
Bulgaria,1981,0,,3549,1382000,2164000,8878,54870
Bulgaria,1982,0,,3598,1514000,2178000,8894,56644
Bulgaria,1983,0,,3648,1655000,2192000,8909,55574
Bulgaria,1984,0,,3699,1810000,2206000,8925,57412
Bulgaria,1985,0,,3750,1946000,2220000,8941,55682
Bulgaria,1986,0,,3789,2079000,2340000,8957,57154
Bulgaria,1987,0,,3829,2229000,2470000,8971,57262
Bulgaria,1988,0,,3869,2386000,2610000,8981,56903
Bulgaria,1989,0,,3909,2515000,2750000,8989,55883
Bulgaria,1990,0,,3950,2635000,2900000,8966,49779
Bulgaria,1991,0,,3962,2727000,2960000,8914,45617
Bulgaria,1992,0,,3974,2839000,3020000,8869,42277
Bulgaria,1993,1000.236,200.0472,3986,,3090000,8495,41674
Bulgaria,1994,6496.149,1649.023,3998,2984000,3150000,8448,42441
Bulgaria,1995,20895.13,9988.109,4010,3625000,3220000,8399,43646
Bulgaria,1996,26575.28,59971.29,4500,3772000,3300000,8345,39210
Bulgaria,1997,70016.84,100024.9,4510,3963000,3310000,8291,36472
Bulgaria,1998,125796.4,148578.5,4520,,3320000,8240,37786
Bulgaria,1999,346991.1,232583.1,4530,,3330000,8195,38731
Bulgaria,2000,739901.8,425303.7,,,,8156.97,42573.1
Burma,1975,0,,652,31000,,30445,20125
Burma,1976,0,,665,32000,,31080,21350
Burma,1977,0,,668,32000,,31735,22625
Burma,1978,0,,670,34000,,32404,24086
Burma,1979,0,,720,37000,,33081,25222
Burma,1980,0,,774,,996.5699,33766,27381
Burma,1981,0,,979,,4981.348,34460,28930
Burma,1982,0,,1237,,9953.858,35162,30499
Burma,1983,0,,1564,,13914.86,35873,31827
Burma,1984,0,,1977,,16862.23,36592,33397
Burma,1985,0,,2500,,19787.45,37319,34349
Burma,1986,0,,2662,,29573.46,38055,33986
Burma,1987,0,,2835,,49890.83,38800,32624
Burma,1988,0,,3020,81000,66336.03,39551,28921
Burma,1989,0,,3216,,82398.62,40308,29989
Burma,1990,0,,3425,70000,112656.6,41068,30834
Burma,1991,0,,3512,86000,127942.8,41834,30633
Burma,1992,0,,3628,98073.609,167925.8,42607,33593
Burma,1993,635.5441,,3748,115976.41,211847.7,43385,35622
Burma,1994,1895.126,,3872,135557.75,296606.9,44169,38285
Burma,1995,2767.915,,4000,157952.25,302509.3,44955,40946
Burma,1996,7360.917,,4150,181114.03,314917.4,45741,43584
Burma,1997,8718.124,,4200,219201.48,325235.7,46525,45600
Burma,1998,8846.902,,4250,238230.58,332226.3,47305,48427
Burma,1999,11854.27,520.4282,4300,259258.77,336507.8,48081,50606
Cambodia,1975,0,,110,,30000,7179,4342
Cambodia,1976,0,,154,,30940,6906,4650
Cambodia,1977,0,,217,,31910,6669,5016
Cambodia,1978,0,,304,,32910,6460,5484
Cambodia,1979,0,,427,,33940,6393,5593
Cambodia,1980,0,,600,,35000,6499,5705
Cambodia,1981,0,,636,,37880,6681,5774
Cambodia,1982,0,,673,,41010,6903,6218
Cambodia,1983,0,,713,,44380,7143,6660
Cambodia,1984,0,,755,,48040,7286,7106
Cambodia,1985,0,,800,,52000,7399,7554
Cambodia,1986,0,,827,,55000,7621,7998
Cambodia,1987,0,,854,2593.3315,58000,7883,7839
Cambodia,1988,0,,882,2759.918,61000,8153,8035
Cambodia,1989,0,,912,2994.6973,64000,8431,8233
Cambodia,1990,0,,942,3222.1101,68000,8717,8235
Cambodia,1991,0,,975,4025.9712,71000,9012,8860
Cambodia,1992,0,,1010,4223.2183,74000,9403,9482
Cambodia,1993,4991.313,,1045,4373.8843,78000,9858,9870
Cambodia,1994,10648.85,,1082,7220.915,81000,10210,10258
Cambodia,1995,14717.89,,1120,8901.7139,85000,10491,10940
Cambodia,1996,24660.65,,1300,16521.932,90000,10773,11543
Cambodia,1997,35860.08,791.8688,1340,21420.297,94000,11055,11846
Cambodia,1998,61668.65,2130.856,1381,24388.998,98000,11340,11998
Cambodia,1999,85385.23,4058.402,1424,26543.898,102000,11592.6,11897.2
Cameroon,1975,0,,232,,,7522,7910
Cameroon,1976,0,,235,,,7723,8061
Cameroon,1977,0,,240,,,7966,8520
Cameroon,1978,0,,413,35000,,8214,8985
Cameroon,1979,0,,586,38000,,8461,9474
Cameroon,1980,0,,760,40000,,8761,10441
Cameroon,1981,0,,833,44000,,9044,12222
Cameroon,1982,0,,912,45000,,9280,13147
Cameroon,1983,0,,1000,47000,,9563,14068
Cameroon,1984,0,,1095,49000,,9870,15170
Cameroon,1985,0,,1200,,,10199,16528
Cameroon,1986,0,,1279,,,10544,17722
Cameroon,1987,0,,1363,62000,121890.8,10890,16839
Cameroon,1988,0,,1453,35000,124839.1,11236,16072
Cameroon,1989,0,,1548,38000,252551.9,11562,14632
Cameroon,1990,0,,1650,40000,273162.4,11894,14393
Cameroon,1991,0,,1715,42000,282842.6,12261,13846
Cameroon,1992,0,,1782,55490.465,324790.6,12636,13417
Cameroon,1993,0,,1852,58049.125,609247.8,13017,12987
Cameroon,1994,1624.116,,1925,59077.227,974469.8,13405,12663
Cameroon,1995,2816.799,,2000,65990.563,985879.7,13800,13081
Cameroon,1996,3551.881,,2200,71603.883,1004675,14202,13735
Cameroon,1997,4250.929,1012.091,2270,76111.875,1012126,14611,14435
Cameroon,1998,5049.633,2019.818,2342,94852.305,1060423,15029,15157
Cameroon,1999,6037.222,20124.25,2417,95185.867,1056514,15375.5,15251
Cameroon,2000,148314,40084.85,,95201.523,1102334,15718,15871.7
Canada,1975,0,,16250,13165000,9390000,23209,332269
Canada,1976,0,,16537,13885000,9623500,23518,350467
Canada,1977,0,,16828,14488000,9862800,23796,362245
Canada,1978,0,,17125,15172000,10100000,24036,376894
Canada,1979,0,,17427,15839000,10400000,24277,392561
Canada,1980,0,,17734,16531000,10600000,24593,397814
Canada,1981,0,,18719,16944000,11200000,24900,410164
Canada,1982,0,,19759,16802000,11900000,25202,397671
Canada,1983,0,,20856,16618000,12500000,25456,409246
Canada,1984,0,,22014,18583000,13300000,25702,432711
Canada,1985,12000.18,,23237,19084000,14000000,25942,456107
Canada,1986,60000.46,,24199,19598000,14600000,26204,468055
Canada,1987,98852.3,,25200,20126000,15100000,26550,487138
Canada,1988,204605.9,,26244,,15700000,26798,510815
